iata,icao
ABM,YNPE
AGW,
AUD,YAGD
AUU,YAUR
AXC,YAMC
AYR,YAYR
BBL,YLLE
BCI,YBAR
BCK,
BDB,YBUD
BDD,YBAU
BEU,YBIE
BFC,
BHT,
BIP,
BKP,YBAW
BKQ,YBCK
BLS,YBLL
BLT,YBTR
BMP,YBPI
BNE,YBBN
BQL,YBOU
BTX,YBEO
BUC,YBKT
BVI,YBDV
BVW,
BZP,
CBY,
CCL,YCCA
CDQ,YCRY
CFP,
CMA,YCMU
CML,YCMW
CMQ,YCMT
CNC,YCCT
CNJ,YCCY
CNS,YBCS
CQP,
CRH,
CTL,YBCV
CTN,YCKN
CUD,YCDR
CUQ,YCOE
CXT,YCHT
CZY,YUNY
DBY,YDAY
DDN,YDLT
DFP,
DHD,YDRH
DKI,YDKI
DMD,YDMG
DNB,YDBR
DRD,YDOR
DRN,YDBI
DRR,YDRI
DVP,YDPD
DXD,YDIX
DYA,YDYS
DYM,
EDR,YPMP
EIH,
EMD,YEML
ERQ,YESE
GAH,YGAY
GBP,YGAM
GGD,YGDS
GIC,YBOI
GKL,YGKL
GLG,YGLE
GLM,YGLO
GLT,YGLA
GOO,YGDI
GPD,YGON
GTT,YGTN
GVP,YGNV
GYP,YGYM
HAT,YHTL
HGD,YHUG
HID,YHID
HIG,YHHY
HIP,YHDY
HLV,
HPE,
HTI,YBHM
HVB,YHBA
IFF,YIFY
IFL,YIFL
IGH,YIGM
IKP,YIKM
INJ,YINJ
IRG,YLHR
ISA,YBMA
ISI,YISF
JCK,YJLC
JUN,YJDA
KCE,YCSV
KDS,
KGY,YKRY
KKP,YKLB
KML,YKML
KOH,YKLA
KPP,YKPR
KRB,YKMB
KSV,YSPV
KUG,YKUB
KWM,YKOW
LDC,YLIN
LFP,YLFD
LKD,YLND
LLG,YCGO
LLP,
LOA,YLOR
LRE,YLRE
LTP,YLHS
LTV,YLOV
LUT,YLRS
LUU,YLRA
LWH,YLAH
LYT,
LZR,YLZI
MBH,YMYB
MCY,YBSU
MET,YMOT
MFL,
MKY,YBMK
MLV,YMEU
MMM,YMMU
MNQ,YMTO
MOV,YMRB
MRG,YMBA
MRL,
MTQ,YMIT
MVU,YMGV
MWY,YMIR
MXD,YMWX
MYI,YMAE
NLF,YDNI
NMP,
NMR,YNAP
NSV,YNSH
NTN,YNTN
OBA,
OKB,YORC
OKR,YYKI
OKY,YBOK
ONG,YMTI
ONR,YMNK
OOL,YBCG
OOR,YMOO
OPI,YOEN
ORS,
OSO,YOSB
OXO,
OXY,YMNY
PHQ,YTMO
PMK,YPAM
PPP,YBPN
RCM,YRMD
RKY,
RLP,
RMA,YROM
ROH,YROB
ROK,YBRK
RSB,YRSB
RTP,YRTP
SBR,YSII
SCG,YSPK
SGO,YSGE
SHQ,YSPT
SNH,YSPE
SRM,
SRR,
SSP,
STF,YSTI
STH,YSMR
SVM,
SYU,YWBS
TAN,YTGA
TDR,YTDR
THG,YTNG
TQP,YTEE
TSV,YBTL
TWB,YTWB
TWN,
TWP,
TXR,
TYG,YTHY
UBB,YMAA
UDA,YUDA
ULP,YQLP
UTB,YMTB
VNR,YVRS
WAN,
WAZ,YWCK
WDI,YWND
WEI,YBWP
WIN,YWTN
WLE,YMLS
WNR,YWDH
WON,YWDL
WPK,YWMP
WSY,YSHR
WTB,YBWW
XMY,YYMI
XTG,YTGM
XTO,YTAM
XTR,YTAA
ZBL,
ZBO,YBWN
ZGL,YSGW
ADL,YPAD
ADO,YAMK
AMT,YAMT
AWN,
CCW,YCWL
CED,YCDU
CFH,
CPD,YCBP
CRJ,
CVC,YCEE
CWR,YCWI
DLK,YDLK
ERB,YERN
ETD,YEDA
GSN,YMGN
HWK,YHAW
IDK,YIDK
INM,YINN
KBY,YKBY
KGC,YKSC
KYI,YYTA
LCN,YBLC
LGH,YLEC
LOC,YLOK
MGB,YMTG
MIN,YMPA
MLR,YMCT
MNE,YMUG
MOO,YOOM
MRP,YALA
MVK,YMUK
MWT,YMWT
NAC,YNRC
NUR,YNUB
ODD,YOOD
ODL,YCOD
OLP,YOLD
ORR,YYOR
PDE,YPDI
PDN,
PEA,YPSH
PEY,
PLO,YPLC
PPI,YPIR
PUG,YPAG
PXH,YPMH
RCN,
RMK,YREN
RRE,YMRE
RTY,YMYT
TAQ,
UMR,YPWR
WUD,YWUD
WYA,YWHA
XML,YMIN
BWT,YWYY
CBI,
DPO,YDPO
FLS,YFLI
GEE,YGTO
HBA,YMHB
HLS,YSTH
KNS,YKII
LST,YMLT
LTB,
SIO,YSMI
SRN,YSRN
UEE,YQNS
ARY,YARA
AVV,YMAV
BLN,YBLA
BRJ,
BSJ,YBNS
BXG,YBDG
CYG,YCRG
ECH,YECH
GEX,YGLG
HLT,YHML
HSM,YHSM
HTU,YHPN
KRA,YKER
MBF,YPOK
MBW,YMMB
MEB,YMEN
MEL,YMML
MHU,YHOT
MQL,YMIA
OYN,YOUY
PTJ,YPOD
RBC,YROI
RBS,YORB
SHT,YSHT
SWC,YSWL
SWH,YSWH
SXE,YWSL
TGN,YLTV
WGT,YWGT
WHL,
WKB,YWKB
WMB,YWBL
XCO,YOLA
XMC,YMCO
ALH,YABA
BDW,YBDF
BEE,
BIW,
BME,YBRM
BQB,YBLN
BQW,YBGO
BUY,YBUN
BVZ,YBYS
BWB,YBWX
BXF,YBEB
BYP,YBRY
CBC,
CGV,YCAG
CIE,YCOI
CJF,YCWA
CKW,YCHK
COY,YCWY
CRY,
CUY,YCUE
CVQ,YCAR
CXQ,
DCN,YCIN
DGD,YDGA
DNG,
DNM,
DOX,YDRA
DRB,YDBY
DRY,YDRD
ENB,YEEB
EPR,YESP
EUC,YECL
EXM,YEXM
FIZ,YFTZ
FOS,YFRT
FSL,
FVL,YFLO
FVR,YFRV
GBV,YGIB
GBW,YGIA
GDD,YGDN
GET,YGEL
GLY,
GSC,YGSC
GYL,YARG
HCQ,YHLC
HLL,YHIL
JAD,YPJT
JUR,YJNB
KAX,YKBR
KBD,
KDB,YKBL
KFE,YFDF
KGI,YPKG
KNI,YKNG
KNX,YPKU
KQR,YKAR
KTA,YPKA
KYF,YYLR
LDW,
LEA,YPLM
LER,YLST
LGE,
LLL,
LNO,YLEO
LVO,YLTN
MBB,YMBL
MBN,
MGV,YMGR
MHO,YMHO
MIH,YMIP
MJK,YSHK
MJP,YMJM
MKR,YMEK
MMG,YMOG
MQA,YMDI
MQZ,YMGT
MUQ,YMUC
MWB,YMRW
MXU,YMWA
MYO,YMYR
NDS,YSAN
NIF,YCNF
NKB,
NLL,YNUL
NLS,
NRG,YNRG
NSM,YNSM
OCM,YBGD
ODR,YORV
ONS,YOLW
PBO,YPBO
PER,YPPH
PHE,YPPD
PRD,YPDO
RBU,YROE
RHL,YRYH
RTS,YRTI
RVT,YNRV
SGP,YSHG
SLJ,YSOL
SQC,YSCR
SSK,
SWB,
TBL,YTAB
TDN,YTHD
TEF,YTEF
TKY,YTKY
TPR,YTMP
TTX,YTST
UBU,YKAL
USL,YUSL
WIT,YWIT
WLA,YWAL
WLP,YANG
WME,YMNE
WND,
WRN,YWDG
WRW,YWWG
WUI,YMMI
WUN,YWLU
WWI,YWWI
WYN,YWYM
YLG,YYAL
YNN,
ZNE,YNWN
ZVG,
AUA,TNCA
GYD,UBBB
KVD,UBBG
LLK,UBBL
NAJ,UBBN
GBB,UBBQ
YLV,UBEE
ZTU,UBBY
OMO,LQMO
SJJ,LQSA
TZL,LQTZ
BNX,LQBK
BGI,TBPB
BZL,VGBR
CGP,VGEG
CLA,VGCM
CXB,VGCB
DAC,VGHS
JSR,VGJR
IRD,VGIS
RJH,VGRJ
SPD,VGSD
TKR,VGSG
ZHM,VGSH
ZYL,VGSY
ANR,EBAW
OBL,EBZR
BRU,EBBR
CRL,EBCI
LGG,EBLG
KJK,EBKT
OST,EBOS
XDE,DFOU
TEG,DFET
XZA,DFEZ
BNR,DFOB
XBG,DFEB
FNG,DFEF
BOY,DFOO
OUA,DFFD
XPA,DFEP
XNU,DFON
DGU,DFOD
PUP,DFCP
XBO,DFEA
TMQ,DFEM
XGG,DFEG
XGA,DFOG
XKY,DFCA
DOR,DFEE
XLU,DFCL
XAR,DFOY
XDJ,DFCJ
TUQ,DFOT
ARL,DFER
DIP,DFED
XKA,DFEL
XSE,DFES
OUG,DFCC
BOJ,LBBG
HKV,LBHS
PDV,LBPD
ROU,LBRS
SLS,LBSS
SOF,LBSF
SZR,LBSZ
TGV,LBTG
VAR,LBWN
GOZ,LBGO
JAM,
BAH,OBBI
BJM,HBBA
GID,HBBE
KRE,HBBO
KDC,DBBK
NAE,DBBN
